titulo,parceiro,depositario,loc_celebracao,pais_celebracao,data,temas,status,n_registro_onu,vigor_int_em,expirou_em,pdf_url
"Declaração Presidencial Conjunta sobre Política Nuclear, por ocasião dos 25 anos da entrada em vigor do Acordo Quadripartite",Argentina,NA,Buenos Aires,Argentina,06/06/2019,Declaração Conjunta,Em Vigor,NA,06/06/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29893
"Memorando de entendimento entre a República Federativa do Brasil e a República Argentina sobre cooperação na área de bioenergia, incluindo biocombutíveis",Argentina,NA,Buenos Aires,Argentina,06/06/2019,Energia; Meio Ambiente,Em Vigor,NA,06/06/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29888
"Acordo de Sede, por Troca de Notas, relativo ao Curso de Manutenção de Equipamento de Engenharia para Oficiais",ONU (Organização das Nações Unidas),NA,Nova York,Estados Unidos,31/05/2019,Acordo de Sede,Em Vigor,NA,31/05/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29878
Ata da Quinta Reunião Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação - COSBAN,China,NA,Pequim,China,23/05/2019,Comissão Mista; Cooperação,Em Vigor,NA,23/05/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29835
Ajuste Complementar ao Acordo Básico de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República Federal da Alemanha para a implementação do projeto de cooperação técnica “Fundo de Estudos e Peritos”.,Alemanha,NA,Brasília,Brasil,14/05/2019,Cooperação Técnica,Em Vigor,NA,14/05/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29802
Tratado de Extradição entre a República Federativa do Brasil e a Hungria.,Hungria,NA,Budapeste,Hungria,09/05/2019,Extradição,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29766
Acordo sobre Serviços Aéreos entre a República Federativa do Brasil e o Estado de Israel,Israel,NA,Jerusalém,Israel,31/03/2019,Transporte Aéreo,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29604
"Acordo entre o Governo da República Federativa do Brasil e o Governo do Estado de Israel para Cooperação em Segurança Pública, Prevenção e Combate ao Crime Organizado.",Israel,NA,Jerusalém ,Israel,31/03/2019,Segurança Pública,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29602
Acordo entre o Governo da República Federativa do Brasil e o Governo do Estado de Israel sobre Cooperação em questões relacionadas à Defesa.,Israel,NA,Jerusalém,Israel,31/03/2019,Cooperação; Defesa e Assuntos Militares,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29600
Acordo para Cooperação em Ciência e Tecnologia entre o Governo da República Federativa do Brasil e o Governo do Estado de Israel.,Israel,NA,Jerusalém,Israel,31/03/2019,Cooperação Científica e Tecnológica,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29597
Acordo entre o Governo da República Federativa do Brasil e o Governo dos Estados Unidos da América sobre Salvaguardas Tecnológicas relacionadas à Participação dos Estados Unidos da América em lançamentos a partir do Centro Espacial de Alcântara.,Estados Unidos,NA,Washington,Estados Unidos,18/03/2019,Espaço Exterior,Em Vigor,NA,16/12/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29595
"Declaração Conjunta Presidencial por ocasião da Visita Oficial à República do Chile de Sua Excelência o Presidente da República Federativa do Brasil, Jair Bolsonaro",Chile,NA,Santiago,Chile,23/03/2019,Cooperação,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29593
